product_code,product_name,group_code,group_name,cv_years,observations_count,MAE,RMSE,MAPE_%,WAPE_%,best_feature_set,best_order,best_seasonal_order,main_factor,main_factor_share_%
S_мясо_домашней_птицы,Мясо домашней птицы,G03,"Мясо, птица, рыба и колбасные изделия",2023; 2024; 2025,12,2.95,4.89,2.28,2.45,physical_lags,"(0, 1, 1)","(1, 0, 1, 4)","Индекс физического объема продаж, лаг 1 квартал",93.82
S_мясо_животных,Мясо животных,G03,"Мясо, птица, рыба и колбасные изделия",2023; 2024; 2025,12,2.57,3.46,2.45,2.49,no_exog,"(2, 1, 1)","(1, 0, 1, 4)",,
S_чай,Чай,G05,"Бакалея, масло, сахар, чай, соль",2023; 2024; 2025,12,2.72,3.75,2.7,2.73,physical_current_and_lags,"(0, 1, 1)","(1, 0, 0, 4)","Индекс физического объема продаж, лаг 1 квартал",24.05
S_макаронные_изделия,Макаронные изделия,G01,"Хлеб, крупы, мука и макаронные изделия",2023; 2024; 2025,12,4.09,5.12,3.55,3.57,core,"(1, 1, 0)","(1, 0, 0, 4)",Индекс потребительских цен,46.41
S_молоко_питьевое,Молоко питьевое,G02,Молочная продукция и яйца,2023; 2024; 2025,12,4.58,5.96,3.69,3.65,core,"(1, 1, 0)","(0, 0, 1, 4)",Индекс доходов населения,62.76
S_свежие_овощи,Свежие овощи,G04,"Овощи, фрукты и картофель",2023; 2024; 2025,12,6.03,8.62,4.44,4.28,no_exog,"(1, 1, 0)","(0, 0, 0, 4)",,
S_мука,Мука,G01,"Хлеб, крупы, мука и макаронные изделия",2023; 2024; 2025,12,5.04,6.19,4.76,4.9,no_exog,"(1, 1, 2)","(1, 0, 1, 4)",,
S_дизельное_топливо,Дизельное топливо,G10,Топливо и транспортные товары,2020; 2021; 2022,12,7.1,10.17,5.79,5.36,no_exog,"(1, 1, 2)","(1, 0, 1, 4)",,
S_маргариновая_продукция,Маргариновая продукция,G05,"Бакалея, масло, сахар, чай, соль",2023; 2024; 2025,12,4.71,6.79,5.26,5.63,physical_lags,"(1, 1, 2)","(1, 0, 1, 4)","Индекс физического объема продаж, лаг 4 квартала",86.81
S_сыры,сыры,G02,Молочная продукция и яйца,2023; 2024; 2025,12,7.24,9.49,5.77,5.66,physical_lags,"(1, 1, 0)","(1, 0, 1, 4)","Индекс физического объема продаж, лаг 1 квартал",60.21
S_бензины_автомобильные,Бензины автомобильные,G10,Топливо и транспортные товары,2020; 2021,8,6.96,12.33,7.43,6.61,no_exog,"(2, 1, 1)","(0, 0, 0, 4)",,
S_свежие_фрукты,Свежие фрукты,G04,"Овощи, фрукты и картофель",2023; 2024; 2025,12,10.59,14.29,7.96,8.08,no_exog,"(1, 1, 2)","(1, 0, 0, 4)",,
S_лампы_накаливания_включая_галогенные_кроме_ламп_для_автотранспортных_средств,"Лампы накаливания (включая галогенные, кроме ламп для автотранспортных средств)",G10,Топливо и транспортные товары,2022; 2023; 2024,12,5.5,6.97,10.25,10.06,physical_lags,"(0, 1, 1)","(1, 0, 0, 4)","Индекс физического объема продаж, лаг 4 квартала",83.78
S_свежий_картофель,Свежий картофель,G04,"Овощи, фрукты и картофель",2023; 2024; 2025,12,14.59,18.7,9.68,10.14,physical_current_and_lags,"(2, 1, 1)","(0, 0, 1, 4)",Прирост физического объема продаж,26.37
S_консервы_молочные_молочные_составные_сухие_сублимированные,"Консервы молочные, молочные составные сухие, сублимированные",G02,Молочная продукция и яйца,2023; 2024; 2025,12,11.97,16.57,10.54,10.42,physical_current_and_lags,"(1, 1, 2)","(0, 0, 0, 4)",Индекс физического объема продаж,29.64
S_автомобили_легковые,Автомобили легковые,G10,Топливо и транспортные товары,2023; 2024; 2025,12,19.46,25.34,11.7,11.5,physical_current_and_lags,"(2, 1, 1)","(1, 0, 1, 4)",Отклонение физического индекса от прошлого года,47.37
S_стиральные_машины,Стиральные машины,G07,"Товары для дома, гигиены и бытовая химия",2023; 2024; 2025,12,18.33,21.9,13.05,13.13,physical_lags,"(2, 1, 1)","(0, 0, 0, 4)","Индекс физического объема продаж, лаг 1 квартал",78.61
S_газовое_моторное_топливо,Газовое моторное топливо,G10,Топливо и транспортные товары,2020; 2021; 2022,12,28.29,34.12,16.44,17.55,core_physical_current,"(1, 1, 0)","(1, 0, 1, 4)",Товарные запасы в стоимостном выражении,24.09
