product_code,product_name,group_code,group_name,cv_years,observations_count,actual_mean,forecast_mean,mean_error,MAE,RMSE,MAPE_%,WAPE_%,best_feature_set,best_used_features,best_order,best_seasonal_order,main_factor,main_factor_abs_contribution,main_factor_share_%
S_мясо_домашней_птицы,Мясо домашней птицы,G03,"Мясо, птица, рыба и колбасные изделия",2023; 2024; 2025,12,120.29,120.46,0.18,2.95,4.89,2.28,2.45,physical_lags,physical_volume_index_lag1; physical_volume_index_lag4,"(0, 1, 1)","(1, 0, 1, 4)","Индекс физического объема продаж, лаг 1 квартал",1.64,93.82
S_мясо_животных,Мясо животных,G03,"Мясо, птица, рыба и колбасные изделия",2023; 2024; 2025,12,103.19,101.81,-1.37,2.57,3.46,2.45,2.49,no_exog,,"(2, 1, 1)","(1, 0, 1, 4)",,,
S_чай,Чай,G05,"Бакалея, масло, сахар, чай, соль",2023; 2024; 2025,12,99.74,98.51,-1.23,2.72,3.75,2.7,2.73,physical_current_and_lags,physical_volume_index; physical_volume_index_lag1; physical_volume_index_lag4; physical_volume_index_qoq; physical_volume_index_yoy_diff; physical_volume_vs_group; physical_volume_vs_market,"(0, 1, 1)","(1, 0, 0, 4)","Индекс физического объема продаж, лаг 1 квартал",23.5,24.05
S_макаронные_изделия,Макаронные изделия,G01,"Хлеб, крупы, мука и макаронные изделия",2023; 2024; 2025,12,114.68,116.65,1.97,4.09,5.12,3.55,3.57,core,consumer_price_index; income_index; stock_days_mean; stock_value_mean_thousand_rub,"(1, 1, 0)","(1, 0, 0, 4)",Индекс потребительских цен,17.48,46.41
S_молоко_питьевое,Молоко питьевое,G02,Молочная продукция и яйца,2023; 2024; 2025,12,125.45,127.31,1.86,4.58,5.96,3.69,3.65,core,consumer_price_index; income_index; stock_days_mean; stock_value_mean_thousand_rub,"(1, 1, 0)","(0, 0, 1, 4)",Индекс доходов населения,4.38,62.76
S_свежие_овощи,Свежие овощи,G04,"Овощи, фрукты и картофель",2023; 2024; 2025,12,140.74,142.12,1.38,6.03,8.62,4.44,4.28,no_exog,,"(1, 1, 0)","(0, 0, 0, 4)",,,
S_мука,Мука,G01,"Хлеб, крупы, мука и макаронные изделия",2023; 2024; 2025,12,102.79,103.02,0.23,5.04,6.19,4.76,4.9,no_exog,,"(1, 1, 2)","(1, 0, 1, 4)",,,
S_дизельное_топливо,Дизельное топливо,G10,Топливо и транспортные товары,2020; 2021; 2022,12,132.42,133.65,1.23,7.1,10.17,5.79,5.36,no_exog,,"(1, 1, 2)","(1, 0, 1, 4)",,,
S_маргариновая_продукция,Маргариновая продукция,G05,"Бакалея, масло, сахар, чай, соль",2023; 2024; 2025,12,83.61,80.83,-2.78,4.71,6.79,5.26,5.63,physical_lags,physical_volume_index_lag1; physical_volume_index_lag4,"(1, 1, 2)","(1, 0, 1, 4)","Индекс физического объема продаж, лаг 4 квартала",0.57,86.81
S_сыры,сыры,G02,Молочная продукция и яйца,2023; 2024; 2025,12,128.02,127.08,-0.94,7.24,9.49,5.77,5.66,physical_lags,physical_volume_index_lag1; physical_volume_index_lag4,"(1, 1, 0)","(1, 0, 1, 4)","Индекс физического объема продаж, лаг 1 квартал",1.53,60.21
