Код товара,Группа товаров,Товар,"Волатильность спроса, %","Сезонность спроса, %","Индекс нестабильности, %","WAPE, %"
P01,Молочная продукция и яйца,Молоко питьевое,6.21,8.22,0.0,2.82
P02,"Овощи, фрукты и картофель",Свежие овощи,6.38,12.38,4.88,4.01
P03,"Мясо, птица, рыба и колбасные изделия",Мясо животных,6.59,16.91,10.27,1.58
P04,"Хлеб, крупы, мука и макаронные изделия",Макаронные изделия,9.96,23.82,27.17,3.05
P05,"Бакалея, масло, сахар, чай, соль",Маргариновая продукция,11.61,24.77,32.9,5.22
P06,Топливо и транспортные товары,Дизельное топливо,11.2,26.32,33.37,5.14
P07,Топливо и транспортные товары,Бензины автомобильные,11.71,25.91,34.39,5.85
P08,Молочная продукция и яйца,сыры,11.96,26.16,35.37,3.48
P09,Молочная продукция и яйца,"Консервы молочные, молочные составные сухие, сублимированные",14.1,23.9,39.08,7.67
P10,"Хлеб, крупы, мука и макаронные изделия",Мука,12.2,30.41,40.54,4.52
P11,"Мясо, птица, рыба и колбасные изделия",Мясо домашней птицы,12.42,29.85,40.57,2.27
P12,"Бакалея, масло, сахар, чай, соль",Чай,12.82,32.14,44.13,3.27
P13,"Овощи, фрукты и картофель",Свежие фрукты,14.39,32.51,49.0,6.82
P14,Топливо и транспортные товары,Автомобили легковые,17.43,35.26,60.59,9.95
P15,Топливо и транспортные товары,Газовое моторное топливо,22.49,31.51,71.08,10.76
P16,"Товары для дома, гигиены и бытовая химия",Стиральные машины,19.3,40.58,71.54,10.49
P17,"Овощи, фрукты и картофель",Свежий картофель,23.73,46.33,90.25,11.4
P18,Топливо и транспортные товары,"Лампы накаливания (включая галогенные, кроме ламп для автотранспортных средств)",23.52,55.56,99.42,6.89
